Feature,Importance
PageValues,0.3279609814786844
ExitRates,0.09463818964434365
ProductRelated_Duration,0.08075684882273305
ProductRelated,0.06532065439085441
BounceRates,0.05228997667295974
Administrative_Duration,0.04931955827896208
Administrative,0.04068217248473222
Month_Nov,0.024992798089205782
Informational_Duration,0.021452285304174028
Informational,0.015469519276891623
TrafficType_2,0.011576526989967218
Month_May,0.010684016491806267
Region_1,0.009569021526873348
Region_3,0.008027970370676752
VisitorType_Returning_Visitor,0.007865979213734811
